Disease,Disease ID,Disease Acronym
"Ohdo syndrome, SBBYS variant",DI-03311,SBBYSS
"Ohdo syndrome, X-linked",DI-03741,OHDOX
Okur-Chung neurodevelopmental syndrome,DI-04799,OCNDS
Oligodontia-colorectal cancer syndrome,DI-02092,ODCRCS
Oliver-McFarlane syndrome,DI-04369,OMCS
Olmsted syndrome,DI-03430,OLMS
"Olmsted syndrome, X-linked",DI-04106,OLMSX
Omenn syndrome,DI-02093,OS
Omodysplasia 1,DI-02618,OMOD1
Omodysplasia 2,DI-05491,OMOD2
"Omphalocele, autosomal",DI-03657,OMPHA
Oocyte maturation defect 1,DI-04091,OOMD1
Oocyte maturation defect 2,DI-04613,OOMD2
Oocyte maturation defect 3,DI-05111,OOMD3
Oocyte maturation defect 4,DI-05112,OOMD4
Oocyte maturation defect 5,DI-05264,OOMD5
Oocyte maturation defect 6,DI-05501,OOMD6
Oocyte maturation defect 7,DI-05642,OOMD7
Oocyte maturation defect 8,DI-05911,OOMD8
Oocyte maturation defect 9,DI-05912,OOMD9
Ophthalmoacromelic syndrome,DI-03004,OAS
"Ophthalmoplegia, external, with rib and vertebral anomalies",DI-05356,EORVA
Opitz GBBB syndrome 1,DI-02094,GBBB1
Opitz GBBB syndrome 2,DI-04368,GBBB2
Opitz-Kaveggia syndrome,DI-02095,OKS
Opsismodysplasia,DI-03691,OPSMD
Optic atrophy 1,DI-02097,OPA1
"Optic atrophy 10 with or without ataxia, mental retardation, and seizures",DI-04624,OPA10
Optic atrophy 11,DI-04928,OPA11
Optic atrophy 12,DI-05893,OPA12
Optic atrophy 13 with retinal and foveal abnormalities,DI-05921,OPA13
Optic atrophy 3,DI-02098,OPA3
Optic atrophy 5,DI-05126,OPA5
Optic atrophy 7 with or without auditory neuropathy,DI-02531,OPA7
Optic atrophy 9,DI-04381,OPA9
Optic disk anomalies with retinal and/or macular dystrophy,DI-00757,ODRMD
Ornithine carbamoyltransferase deficiency,DI-00883,OTCD
Orofacial cleft 8,DI-00829,OFC8
Orofaciodigital syndrome 1,DI-02099,OFD1
Orofaciodigital syndrome 14,DI-04201,OFD14
Orofaciodigital syndrome 15,DI-04826,OFD15
Orofaciodigital syndrome 16,DI-05037,OFD16
Orofaciodigital syndrome 17,DI-05202,OFD17
Orofaciodigital syndrome 18,DI-05224,OFD18
Orofaciodigital syndrome 4,DI-03516,OFD4
Orofaciodigital syndrome 5,DI-03935,OFD5
Orofaciodigital syndrome 6,DI-04278,OFD6
Orotic aciduria 1,DI-01730,ORAC1
Orthostatic hypotension 1,DI-01502,ORTHYP1
Orthostatic hypotension 2,DI-05383,ORTHYP2
Orthostatic intolerance,DI-02100,OI
Ossification of the posterior longitudinal ligament of the spine,DI-02820,OPLL
Osteoarthritis 1,DI-02641,OS1
Osteoarthritis 2,DI-02642,OS2
Osteoarthritis 3,DI-02643,OS3
Osteoarthritis 5,DI-02644,OS5
Osteoarthritis with mild chondrodysplasia,DI-02101,OSCDP
"Osteochondrodysplasia, brachydactyly, and overlapping malformed digits",DI-05363,OCBMD
"Osteochondrodysplasia, complex lethal, Symoens-Barnes-Gistelinck type",DI-04702,OCLSBG
Osteofibrous dysplasia,DI-04712,OSFD
Osteogenesis imperfecta 1,DI-02106,OI1
Osteogenesis imperfecta 10,DI-03068,OI10
Osteogenesis imperfecta 11,DI-03069,OI11
Osteogenesis imperfecta 12,DI-03173,OI12
Osteogenesis imperfecta 13,DI-03557,OI13
Osteogenesis imperfecta 14,DI-03686,OI14
Osteogenesis imperfecta 15,DI-03754,OI15
Osteogenesis imperfecta 16,DI-04377,OI16
Osteogenesis imperfecta 17,DI-04503,OI17
Osteogenesis imperfecta 18,DI-05240,OI18
Osteogenesis imperfecta 19,DI-05299,OI19
Osteogenesis imperfecta 2,DI-02107,OI2
Osteogenesis imperfecta 20,DI-05682,OI20
Osteogenesis imperfecta 3,DI-02108,OI3
Osteogenesis imperfecta 4,DI-02103,OI4
Osteogenesis imperfecta 5,DI-03563,OI5
Osteogenesis imperfecta 6,DI-02725,OI6
Osteogenesis imperfecta 7,DI-02104,OI7
Osteogenesis imperfecta 8,DI-02105,OI8
Osteogenesis imperfecta 9,DI-02542,OI9
Osteogenic sarcoma,DI-02109,OSRC
Osteoglophonic dysplasia,DI-02110,OGD
Osteopathia striata with cranial sclerosis,DI-02547,OSCS
"Osteopetrosis, autosomal dominant 1",DI-00884,OPTA1
"Osteopetrosis, autosomal dominant 2",DI-00885,OPTA2
"Osteopetrosis, autosomal dominant 3",DI-05323,OPTA3
"Osteopetrosis, autosomal recessive 1",DI-00886,OPTB1
"Osteopetrosis, autosomal recessive 2",DI-00887,OPTB2
"Osteopetrosis, autosomal recessive 3",DI-01252,OPTB3
"Osteopetrosis, autosomal recessive 4",DI-00888,OPTB4
"Osteopetrosis, autosomal recessive 5",DI-00889,OPTB5
"Osteopetrosis, autosomal recessive 6",DI-01253,OPTB6
"Osteopetrosis, autosomal recessive 7",DI-00890,OPTB7
"Osteopetrosis, autosomal recessive 8",DI-03656,OPTB8
Osteoporosis,DI-02659,OSTEOP
Osteoporosis-pseudoglioma syndrome,DI-02111,OPPG
Otitis media,DI-05294,OM
Otofaciocervical syndrome 1,DI-02112,OTFCS1
Otofaciocervical syndrome 2,DI-03986,OTFCS2
Otopalatodigital syndrome 1,DI-02113,OPD1
Otopalatodigital syndrome 2,DI-02114,OPD2
"Otospondylomegaepiphyseal dysplasia, autosomal dominant",DI-01093,OSMEDA
"Otospondylomegaepiphyseal dysplasia, autosomal recessive",DI-01254,OSMEDB
"Ovalocytosis, Southeast Asian",DI-00448,SAO
Ovarian cancer,DI-01655,OC
Ovarian dysgenesis 1,DI-02115,ODG1
Ovarian dysgenesis 2,DI-02116,ODG2
Ovarian dysgenesis 3,DI-03287,ODG3
Ovarian dysgenesis 4,DI-04296,ODG4
Ovarian dysgenesis 5,DI-05092,ODG5
Ovarian dysgenesis 6,DI-05300,ODG6
Ovarian dysgenesis 7,DI-05334,ODG7
Ovarian dysgenesis 8,DI-05386,ODG8
Ovarian hyperstimulation syndrome,DI-02117,OHSS
Overhydrated hereditary stomatocytosis,DI-04608,OHST
Overlap connective tissue disease,DI-01941,OCTD
P5N deficiency,DI-02118,P5ND
"Pachygyria, microcephaly, developmental delay, and dysmorphic facies, with or without seizures",DI-05737,PAMDDFS
Pachyonychia congenita 1,DI-00891,PC1
Pachyonychia congenita 2,DI-00892,PC2
Pachyonychia congenita 3,DI-04094,PC3
Pachyonychia congenita 4,DI-04095,PC4
Paganini-Miozzo syndrome,DI-05579,MRXSPM
"Paget disease of bone 2, early-onset",DI-02120,PDB2
Paget disease of bone 3,DI-04539,PDB3
"Paget disease of bone 5, juvenile-onset",DI-01852,PDB5
Paget disease of bone 6,DI-04662,PDB6
Pallister-Hall syndrome,DI-02122,PHS
Pallister-Hall-like syndrome,DI-05902,PHLS
"Palmoplantar carcinoma, multiple self-healing",DI-03762,MSPC
"Palmoplantar keratoderma 1, striate, focal, or diffuse",DI-00895,PPKS1
Palmoplantar keratoderma and congenital alopecia 1,DI-04540,PPKCA1
Palmoplantar keratoderma and woolly hair,DI-04260,PPKWH
"Palmoplantar keratoderma, non-epidermolytic, focal 2",DI-04445,FNEPPK2
"Palmoplantar keratoderma, non-epidermolytic, focal or diffuse",DI-04096,PPKNEFD
Pancreatic agenesis 1,DI-02123,PAGEN1
Pancreatic agenesis 2,DI-04182,PAGEN2
Pancreatic agenesis and congenital heart defects,DI-03371,PACHD
Pancreatic and cerebellar agenesis,DI-01484,PACA
Pancreatic cancer,DI-02124,PNCA
Pancreatic cancer 1,DI-02849,PNCA1
Pancreatic cancer 2,DI-02847,PNCA2
Pancreatic cancer 3,DI-02848,PNCA3
Pancreatic cancer 4,DI-03281,PNCA4
Pancreatic cancer 5,DI-05686,PNCA5
Pancreatic lipase deficiency,DI-05008,PNLIPD
"Pancreatitis, hereditary",DI-01731,PCTT
Panhypopituitarism X-linked,DI-02125,PHPX
PAPA syndrome,DI-02127,PAPAS
Papilloma of choroid plexus,DI-01346,CPP
Papillon-Lefevre syndrome,DI-00900,PLS
Papillorenal syndrome,DI-02258,PAPRS
Paraganglioma and gastric stromal sarcoma,DI-02128,PGGSS
Paragangliomas 1,DI-01733,PGL1
Paragangliomas 2,DI-01734,PGL2
Paragangliomas 3,DI-01218,PGL3
Paragangliomas 4,DI-01735,PGL4
Paragangliomas 5,DI-03195,PGL5
Paragangliomas 6,DI-05590,PGL6
Paragangliomas 7,DI-05591,PGL7
Paramyotonia congenita of von Eulenburg,DI-00901,PMC
Parastremmatic dwarfism,DI-02970,PSTD
Parathyroid carcinoma,DI-02129,PRTC
Parietal foramina 1,DI-02130,PFM1
Parietal foramina 2,DI-02131,PFM2
Parietal foramina with cleidocranial dysplasia,DI-02132,PFMCCD
Parkinson disease,DI-02134,PARK
"Parkinson disease 1, autosomal dominant",DI-01223,PARK1
Parkinson disease 11,DI-02137,PARK11
Parkinson disease 13,DI-02138,PARK13
Parkinson disease 14,DI-02500,PARK14
Parkinson disease 15,DI-02139,PARK15
Parkinson disease 17,DI-03242,PARK17
Parkinson disease 18,DI-03274,PARK18
"Parkinson disease 19A, juvenile-onset",DI-03961,PARK19A
"Parkinson disease 19B, early-onset",DI-04813,PARK19B
Parkinson disease 2,DI-01238,PARK2
"Parkinson disease 20, early-onset",DI-03964,PARK20
Parkinson disease 21,DI-04425,PARK21
Parkinson disease 22,DI-04601,PARK22
"Parkinson disease 23, autosomal recessive, early onset",DI-04668,PARK23
"Parkinson disease 4, autosomal dominant",DI-02135,PARK4
Parkinson disease 5,DI-02947,PARK5
Parkinson disease 6,DI-01239,PARK6
Parkinson disease 7,DI-01240,PARK7
Parkinson disease 8,DI-02136,PARK8
Parkinson-dementia syndrome,DI-03096,PARDE
"Parkinsonism with spasticity, X-linked",DI-03948,XPDS
Parkinsonism-dystonia infantile,DI-02782,PKDYS
"Parkinsonism-dystonia, infantile, 2",DI-05288,PKDYS2
Paroxysmal extreme pain disorder,DI-02140,PEPD
Paroxysmal nocturnal hemoglobinuria 1,DI-02141,PNH1
Paroxysmal nocturnal hemoglobinuria 2,DI-03876,PNH2
"Paroxysmal nonkinesigenic dyskinesia, 3, with or without generalized epilepsy",DI-00503,PNKD3
Partial acquired lipodystrophy,DI-02142,APLD
"Partial gonadal dysgenesis with minifascicular neuropathy 46,XY",DI-02146,PGD
Partington syndrome,DI-02147,PRTS
Patent ductus arteriosus 2,DI-04762,PDA2
Patent ductus arteriosus 3,DI-04763,PDA3
Peeling skin syndrome 1,DI-03006,PSS1
Peeling skin syndrome 2,DI-02148,PSS2
Peeling skin syndrome 3,DI-04350,PSS3
Peeling skin syndrome 4,DI-03298,PSS4
Peeling skin syndrome 5,DI-04833,PSS5
Peeling skin syndrome 6,DI-05307,PSS6
"Peeling skin with leukonychia, acral punctate keratoses, cheilitis, and knuckle pads",DI-04385,PLACK
PEHO syndrome,DI-04784,PEHO
PEHO-like syndrome,DI-05012,PEHOL
Pelger-Huet anomaly,DI-02149,PHA
Pelger-Huet anomaly with mild skeletal anomalies,DI-05279,PHASK
Pelizaeus-Merzbacher disease,DI-00903,PMD
Pendred syndrome,DI-00905,PDS
Pentosuria,DI-04062,PNTSU
Perching syndrome,DI-04779,PERCHING
"Periodic fever, familial, autosomal dominant",DI-00491,FPF
"Periodic fever, immunodeficiency, and thrombocytopenia syndrome",DI-05881,PFITS
"Periodic fever, menstrual cycle-dependent",DI-03472,PFMC
Periodic paralysis hyperkalemic,DI-00906,HYPP
Periodic paralysis hypokalemic 1,DI-00907,HOKPP1
Periodic paralysis hypokalemic 2,DI-02768,HOKPP2
Periodic paralysis normokalemic,DI-00908,NKPP
"Periodontititis, aggressive, 1",DI-01853,AP1
"Peripheral demyelinating neuropathy, central dysmyelinating leukodystrophy, Waardenburg syndrome and Hirschsprung disease",DI-00909,PCWH
"Peripheral neuropathy, autosomal recessive, with or without impaired intellectual development",DI-05337,PNRIID
"Peripheral neuropathy, myopathy, hoarseness, and hearing loss",DI-03320,PNMHH
Periventricular nodular heterotopia 1,DI-00910,PVNH1
Periventricular nodular heterotopia 2,DI-00911,PVNH2
Periventricular nodular heterotopia 6,DI-03958,PVNH6
Periventricular nodular heterotopia 7,DI-04867,PVNH7
Periventricular nodular heterotopia 8,DI-05385,PVNH8
Periventricular nodular heterotopia 9,DI-05862,PVNH9
Perlman syndrome,DI-03413,PRLMNS
Peroxisomal fatty acyl-CoA reductase 1 disorder,DI-04305,PFCRD
Peroxisome biogenesis disorder 10A,DI-03592,PBD10A
Peroxisome biogenesis disorder 10B,DI-04964,PBD10B
Peroxisome biogenesis disorder 11A,DI-03593,PBD11A
Peroxisome biogenesis disorder 11B,DI-03594,PBD11B
Peroxisome biogenesis disorder 12A,DI-03595,PBD12A
Peroxisome biogenesis disorder 13A,DI-03596,PBD13A
Peroxisome biogenesis disorder 14B,DI-03597,PBD14B
Peroxisome biogenesis disorder 1A,DI-00800,PBD1A
Peroxisome biogenesis disorder 1B,DI-03577,PBD1B
Peroxisome biogenesis disorder 2A,DI-03579,PBD2A
Peroxisome biogenesis disorder 2B,DI-00048,PBD2B
Peroxisome biogenesis disorder 3A,DI-03580,PBD3A
Peroxisome biogenesis disorder 3B,DI-00598,PBD3B
Peroxisome biogenesis disorder 4A,DI-03581,PBD4A
Peroxisome biogenesis disorder 4B,DI-03582,PBD4B
Peroxisome biogenesis disorder 5A,DI-03583,PBD5A
Peroxisome biogenesis disorder 5B,DI-03584,PBD5B
Peroxisome biogenesis disorder 6A,DI-03585,PBD6A
Peroxisome biogenesis disorder 6B,DI-03586,PBD6B
Peroxisome biogenesis disorder 7A,DI-03587,PBD7A
Peroxisome biogenesis disorder 7B,DI-03588,PBD7B
Peroxisome biogenesis disorder 8A,DI-03589,PBD8A
Peroxisome biogenesis disorder 8B,DI-03590,PBD8B
Peroxisome biogenesis disorder 9B,DI-03591,PBD9B
Peroxisome biogenesis disorder complementation group 1,DI-00913,PBD-CG1
Peroxisome biogenesis disorder complementation group 11,DI-00920,PBD-CG11
Peroxisome biogenesis disorder complementation group 12,DI-00921,PBD-CG12
Peroxisome biogenesis disorder complementation group 13,DI-02153,PBD-CG13
Peroxisome biogenesis disorder complementation group 14,DI-00922,PBD-CG14
Peroxisome biogenesis disorder complementation group 2,DI-03578,PBD-CG2
Peroxisome biogenesis disorder complementation group 3,DI-00914,PBD-CG3
Peroxisome biogenesis disorder complementation group 4,DI-00915,PBD-CG4
Peroxisome biogenesis disorder complementation group 5,DI-00916,PBD-CG5
Peroxisome biogenesis disorder complementation group 7,DI-00917,PBD-CG7
Peroxisome biogenesis disorder complementation group 8,DI-00918,PBD-CG8
Peroxisome biogenesis disorder complementation group 9,DI-00919,PBD-CG9
Peroxisome biogenesis disorder complementation group K,DI-02154,PBD-CGK
Perrault syndrome 1,DI-03133,PRLTS1
Perrault syndrome 2,DI-03615,PRLTS2
Perrault syndrome 3,DI-03818,PRLTS3
Perrault syndrome 4,DI-03819,PRLTS4
Perrault syndrome 5,DI-04281,PRLTS5
Perrault syndrome 6,DI-05039,PRLTS6
Perry syndrome,DI-02797,PERRYS
"Persistent hyperplastic primary vitreous, autosomal recessive",DI-03277,PHPVAR
Persistent Muellerian duct syndrome 1,DI-02155,PMDS1
Persistent Muellerian duct syndrome 2,DI-02156,PMDS2
Persistent polyclonal B-cell lymphocytosis,DI-03717,PPBL
Peters-plus syndrome,DI-02158,PTRPLS
Pettigrew syndrome,DI-04207,PGS
Peutz-Jeghers syndrome,DI-00923,PJS
Pfeiffer syndrome,DI-00924,PS
Phelan-McDermid syndrome,DI-03945,PHMDS
Phenylketonuria,DI-02159,PKU
Pheochromocytoma,DI-02160,PCC
"Phosphoenolpyruvate carboxykinase deficiency, cytosolic",DI-01470,PCKDC
Phosphoglycerate dehydrogenase deficiency,DI-02161,PHGDHD
Phosphoglycerate kinase 1 deficiency,DI-02753,PGK1D
Phosphohydroxylysinuria,DI-03669,PHLU
Phosphoribosylpyrophosphate synthetase superactivity,DI-02162,PRPS1 superactivity
Phosphoserine aminotransferase deficiency,DI-02163,PSATD
Phosphoserine phosphatase deficiency,DI-00010,PSPHD
Pick disease of the brain,DI-02937,PIDB
Piebald trait,DI-02164,PBT
Pierpont syndrome,DI-04736,PRPTS
Pierson syndrome,DI-02165,PIERSS
"Pigmentary disorder, reticulate, with systemic manifestations, X-linked",DI-04788,PDR
Pigmented paravenous chorioretinal atrophy,DI-02166,PPCRA
Pilarowski-Bjornsson syndrome,DI-05102,PILBOS
Pilomatrixoma,DI-02167,PTR
Pitt-Hopkins syndrome,DI-02168,PTHS
Pitt-Hopkins-like syndrome 1,DI-03300,PTHSL1
Pitt-Hopkins-like syndrome 2,DI-03301,PTHSL2
"Pituitary adenoma 1, multiple types",DI-01689,PITA1
"Pituitary adenoma 2, growth hormone-secreting",DI-04304,PITA2
"Pituitary adenoma 3, multiple types",DI-05088,PITA3
"Pituitary adenoma 4, ACTH-secreting",DI-01168,PITA4
"Pituitary adenoma 5, multiple types",DI-05087,PITA5
"Pituitary hormone deficiency, combined, 1",DI-01563,CPHD1
"Pituitary hormone deficiency, combined, 2",DI-01369,CPHD2
"Pituitary hormone deficiency, combined, 3",DI-02580,CPHD3
"Pituitary hormone deficiency, combined, 4",DI-02299,CPHD4
"Pituitary hormone deficiency, combined, 5",DI-02582,CPHD5
"Pituitary hormone deficiency, combined, 6",DI-03174,CPHD6
Pityriasis rubra pilaris,DI-03513,PRP
Plasminogen activator inhibitor-1 deficiency,DI-02169,PAI-1D
Plasminogen deficiency,DI-02666,PLGD
Platelet abnormalities with eosinophilia and immune-mediated inflammatory disease,DI-05117,PLTEID
Platelet glycoprotein IV deficiency,DI-02170,PG4D
Platelet-activating factor acetylhydrolase deficiency,DI-02171,PAFAD
Platyspondylic lethal skeletal dysplasia Torrance type,DI-02173,PLSD-T
Pleuropulmonary blastoma,DI-02550,PPB
Poikiloderma with neutropenia,DI-02620,PN
"Poikiloderma, hereditary fibrosing, with tendon contractures, myopathy, and pulmonary fibrosis",DI-04046,POIKTMP
Poirier-Bienvenu neurodevelopmental syndrome,DI-05733,POBINDS
Polycystic kidney disease 1 with or without polycystic liver disease,DI-00925,PKD1
Polycystic kidney disease 2 with or without polycystic liver disease,DI-00926,PKD2
Polycystic kidney disease 3 with or without polycystic liver disease,DI-04789,PKD3
"Polycystic kidney disease 4, with or without polycystic liver disease",DI-00927,PKD4
Polycystic kidney disease 5,DI-05069,PKD5
Polycystic kidney disease 6 with or without polycystic liver disease,DI-05292,PKD6
Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy 1,DI-02174,PLOSL1
Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy 2,DI-05390,PLOSL2
Polycystic liver disease 1 with or without kidney cysts,DI-02175,PCLD1
Polycystic liver disease 2 with or without kidney cysts,DI-04751,PCLD2
Polycystic liver disease 3 with or without kidney cysts,DI-05194,PCLD3
Polycystic liver disease 4 with or without kidney cysts,DI-05195,PCLD4
Polycythemia vera,DI-02712,PV
"Polydactyly, postaxial A1",DI-02397,PAPA1
"Polydactyly, postaxial A6",DI-03746,PAPA6
"Polydactyly, postaxial B",DI-03100,PAPB
"Polydactyly, postaxial, A10",DI-05613,PAPA10
"Polydactyly, postaxial, A7",DI-05052,PAPA7
"Polydactyly, postaxial, A8",DI-05336,PAPA8
"Polydactyly, postaxial, A9",DI-05433,PAPA9
"Polydactyly, preaxial 1",DI-05578,PPD1
"Polydactyly, preaxial 4",DI-02401,PPD4
Polyendocrine-polyneuropathy syndrome,DI-04291,PEPNS
Polyglucosan body myopathy 1 with or without immunodeficiency,DI-04157,PGBM1
Polyglucosan body myopathy 2,DI-04312,PGBM2
"Polyglucosan body neuropathy, adult form",DI-00052,APBN
Polymicrogyria with or without vascular-type Ehlers-Danlos syndrome,DI-05505,PMGEDSV
"Polymicrogyria, bilateral frontoparietal",DI-01281,BFPP
"Polymicrogyria, bilateral perisylvian, autosomal recessive",DI-04104,BPPR
"Polymicrogyria, bilateral temporooccipital",DI-04237,BTOP
"Polymicrogyria, perisylvian, with cerebellar hypoplasia and arthrogryposis",DI-04528,PMGYCHA
"Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract",DI-02920,PHARC
"Polyposis syndrome, mixed hereditary 1",DI-03478,HMPS1
"Polyposis syndrome, mixed hereditary 2",DI-01724,HMPS2
Pontocerebellar hypoplasia 10,DI-04087,PCH10
Pontocerebellar hypoplasia 11,DI-05084,PCH11
Pontocerebellar hypoplasia 12,DI-05445,PCH12
Pontocerebellar hypoplasia 13,DI-05671,PCH13
Pontocerebellar hypoplasia 1A,DI-02626,PCH1A
Pontocerebellar hypoplasia 1B,DI-03477,PCH1B
Pontocerebellar hypoplasia 1C,DI-04273,PCH1C
Pontocerebellar hypoplasia 1D,DI-05293,PCH1D
Pontocerebellar hypoplasia 2A,DI-02176,PCH2A
Pontocerebellar hypoplasia 2B,DI-02177,PCH2B
Pontocerebellar hypoplasia 2C,DI-02178,PCH2C
Pontocerebellar hypoplasia 2D,DI-03066,PCH2D
Pontocerebellar hypoplasia 2E,DI-04128,PCH2E
Pontocerebellar hypoplasia 2F,DI-04758,PCH2F
Pontocerebellar hypoplasia 3,DI-04470,PCH3
Pontocerebellar hypoplasia 4,DI-02179,PCH4
Pontocerebellar hypoplasia 5,DI-04348,PCH5
Pontocerebellar hypoplasia 6,DI-02180,PCH6
Pontocerebellar hypoplasia 7,DI-04978,PCH7
Pontocerebellar hypoplasia 8,DI-03633,PCH8
Pontocerebellar hypoplasia 9,DI-04088,PCH9
"Pontocerebellar hypoplasia, hypotonia, and respiratory insufficiency syndrome, neonatal lethal",DI-05789,PHRINL
Popliteal pterygium syndrome,DI-02181,PPS
Poretti-Boltshauser syndrome,DI-04197,PTBHS
"Porokeratosis 1, multiple types",DI-04570,POROK1
"Porokeratosis 3, multiple types",DI-01490,POROK3
"Porokeratosis 7, multiple types",DI-04571,POROK7
"Porokeratosis 8, disseminated superficial actinic type",DI-04250,POROK8
"Porokeratosis 9, multiple types",DI-04569,POROK9
"Portal hypertension, non-cirrhotic",DI-04803,NCPH
Postaxial acrofacial dysostosis,DI-02571,POADS
Posterior column ataxia with retinitis pigmentosa,DI-03015,PCARP
Potocki-Shaffer syndrome,DI-02006,POSHS
Pre-eclampsia/eclampsia 4,DI-02187,PEE4
Pre-eclampsia/eclampsia 5,DI-03420,PEE5
Preaxial polydactyly 2,DI-03095,PPD2
"Precocious puberty, central 1",DI-01332,CPPB1
"Precocious puberty, central 2",DI-03824,CPPB2
"Pregnancy loss, recurrent, 1",DI-03350,RPRGL1
"Pregnancy loss, recurrent, 2",DI-03351,RPRGL2
"Pregnancy loss, recurrent, 3",DI-03352,RPRGL3
"Pregnancy loss, recurrent, 4",DI-04655,RPRGL4
Preimplantation embryonic lethality 1,DI-04651,PREMBL1
Preimplantation embryonic lethality 2,DI-04914,PREMBL2
Prekallikrein deficiency,DI-02188,PKK deficiency
"Premature aging syndrome, Penttinen type",DI-04566,PENTT
Premature chromatid separation trait,DI-02189,PCS
Premature ovarian failure 1,DI-02518,POF1
Premature ovarian failure 10,DI-04371,POF10
Premature ovarian failure 11,DI-04722,POF11
Premature ovarian failure 12,DI-04723,POF12
Premature ovarian failure 13,DI-04986,POF13
Premature ovarian failure 14,DI-05263,POF14
Premature ovarian failure 15,DI-05319,POF15
Premature ovarian failure 16,DI-05724,POF16
Premature ovarian failure 2A,DI-02191,POF2A
Premature ovarian failure 2B,DI-02192,POF2B
Premature ovarian failure 3,DI-02193,POF3
Premature ovarian failure 4,DI-02194,POF4
Premature ovarian failure 5,DI-02195,POF5
Premature ovarian failure 6,DI-02196,POF6
Premature ovarian failure 7,DI-02517,POF7
Premature ovarian failure 8,DI-04093,POF8
Premature ovarian failure 9,DI-04070,POF9
"Primary aldosteronism, seizures, and neurologic abnormalities",DI-03908,PASNA
Primary bile acid malabsorption,DI-02198,PBAM
Primary erythermalgia,DI-02201,PERYTHM
Primary failure of tooth eruption,DI-02202,PFE
Primary pigmented nodular adrenocortical disease 1,DI-00940,PPNAD1
Primary pigmented nodular adrenocortical disease 2,DI-00941,PPNAD2
Primary pigmented nodular adrenocortical disease 3,DI-03239,PPNAD3
Primary pigmented nodular adrenocortical disease 4,DI-04115,PPNAD4
Primary spontaneous pneumothorax,DI-02208,PSP
Primrose syndrome,DI-04154,PRIMS
"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant, 1",DI-00943,PEOA1
"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant, 2",DI-00944,PEOA2
"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant, 3",DI-00945,PEOA3
"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant, 4",DI-00946,PEOA4
"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant, 5",DI-02544,PEOA5
"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant, 6",DI-03758,PEOA6
"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 2",DI-04488,PEOB2
"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 3",DI-04801,PEOB3
"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 4",DI-04802,PEOB4
"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 5",DI-05301,PEOB5
"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive, 1",DI-00947,PEOB1
Progressive familial heart block 1A,DI-00948,PFHB1A
Progressive familial heart block 1B,DI-02825,PFHB1B
Progressive osseous heteroplasia,DI-02212,POH
Progressive pseudorheumatoid arthropathy of childhood,DI-02213,PPAC
Progressive supranuclear palsy 1,DI-02215,PSNP1
Progressive symmetric erythrokeratodermia,DI-02216,PSEK
Prolactin-secreting pituitary adenoma,DI-02217,PSPA
Prolidase deficiency,DI-02218,PD
Proliferative vasculopathy and hydranencephaly-hydrocephaly syndrome,DI-02824,PVHH
Prolonged electroretinal response suppression,DI-02219,PERRS
Properdin deficiency,DI-02220,PFD
Propionic acidemia type I,DI-02221,PA-1
Propionic acidemia type II,DI-02222,PA-2
Proprotein convertase 1 deficiency,DI-02223,PC1 deficiency
Prostate cancer,DI-02663,PC
"Prostate cancer, hereditary, 1",DI-01736,HPC1
"Prostate cancer, hereditary, 11",DI-02662,HPC11
"Prostate cancer, hereditary, 12",DI-02661,HPC12
"Prostate cancer, hereditary, 13",DI-02660,HPC13
"Prostate cancer, hereditary, 2",DI-03498,HPC2
Proteasome-associated autoinflammatory syndrome 1,DI-03009,PRAAS1
Proteasome-associated autoinflammatory syndrome 2,DI-05287,PRAAS2
Proteasome-associated autoinflammatory syndrome 3,DI-05286,PRAAS3
"Proteinuria, chronic benign",DI-05842,PROCHOB
Proteus syndrome,DI-03216,PROTEUSS
"Protoporphyria, erythropoietic, 1",DI-00484,EPP1
"Protoporphyria, erythropoietic, 2",DI-05274,EPP2
Prune belly syndrome,DI-03312,PBS
Pseudo-TORCH syndrome 1,DI-02925,PTORCH1
Pseudo-TORCH syndrome 2,DI-04973,PTORCH2
Pseudo-TORCH syndrome 3,DI-05844,PTORCH3
Pseudo-von Willebrand disease,DI-02415,VWDP
Pseudoachondroplasia,DI-02227,PSACH
Pseudofolliculitis barbae,DI-05647,PFB
"Pseudohyperkalemia, familial, 2, due to red cell leak",DI-04131,PSHK2
"Pseudohypoaldosteronism 1, autosomal dominant",DI-01224,PHA1A
"Pseudohypoaldosteronism 1, autosomal recessive",DI-01255,PHA1B
Pseudohypoaldosteronism 2B,DI-03368,PHA2B
